Bahara, Vishal Shekhar
Balam Pichkari, Pritam 
Badtameez Dil, Pritam
Chammak Challo, Akon
My Dil Goes Mmmm, Vishal Shekhar 
Tum Hi Ho Bandhu, Neeraj Shridhar
Nagada Sang Dhol, Shreya Ghoshal 
Let'S Nacho, Nucleya
Saturdy Saturday, Shaarib Toshi
Sooraj Ki Bahon Mein, Dominique Cerejo
Gal Mitthi Mitthi, Amit Trivedi
Mileya Mileya, Rekha Bhardwaj
Sau Aasmaan, Armaan Malik
Buddhu Sa Mann, Amaal Mallik
Gallan Goodiyaan, Yashita Sharma 
Dil Dhadakne Do, Joi Barua
Liggi, Ritviz
Makhna, Tanishk Bagchi 
Zindagi Aa Raha Hoon Main, Atif Aslam
Ilahi, Arijit Singh
Subah Subah, Arijit Singh
Kudi Nu Nachne De, Vishal Dadlani
Uff Teri Adaa, Shankar Mahadevan
Ik Vaari Aa, Pritam
Offo, Aditi Singh Sharma
Befikra, Meet Bros
Ik Junoon, Vishal Dadlani 
Matargashti, Mohit Chauhan
Ghungroo, Vishal Shekhar
Locha-E-Ulfat, Beeny Dayal
Hai Junoon, Pritam
Tu Aake Dekhle, King
Ab Toh Forever, Vishal Shekhar 
Deva Deva, Pritam 
Sajna Ji Vaari Vaari, Sunidhi Chauhan 
Jaane Kyun, Vishal Shekhar
Jiya Re, A R Rahman 
Senorita, Farhan Akhtar
London Thumakda, Labh Janjua
Masakali, Mohit Chauhan 
Gulabi Aankhein, Sanam Puri
Ek Main Aur Ekk Tu, Benny Dayal
Adhoore, Vishal Dadlani
Kashmir Main Tu Kanyakumari, Sunidhi Chauhan
Ale, Pritam
Ude Dil Befikre, Vishal Shekhar 
Khabar Nahi, Vishal Shekhar 
Ainvayi Ainvayi, Salim Sulaiman 
Dance Pe Chance, Sunidh Chauhan 
Sooraj Dooba Hain, Arijit Singh
Uff, Harshadeep Kaur 
Naina Da Kya Kasoor, Amit Trivedi
Raat Bhar, Arijit Singh
The Disco Song, Vishal Shekhar
Rock N Roll Soniye, Shankar-Ehsaan-Loy
Jhoom Barabar, Shankar-Ehsaan-Loy
Heeriye, Deep Money
Maahi Ve, Shankar-Ehsaan-Loy
Chor Bazaari, Neeraj Shridhar 
Aao Milo Chalo, Pritam
